city,latitude,longitude,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Islamabad,33.7104,73.1338,2026-02-16 09:00:00+00:00,5,633.03,0.37,3.74,171.11,4.7,105.92,151.24,29.41
Islamabad,33.7104,73.1338,2026-02-16 10:00:00+00:00,5,635.37,0.23,6.04,162.56,4.58,100.56,145.55,31.28
Islamabad,33.7104,73.1338,2026-02-16 11:00:00+00:00,5,703.76,0.21,10.89,139.66,4.33,99.05,144.6,39.07
Islamabad,33.7104,73.1338,2026-02-16 12:00:00+00:00,5,779.67,0.12,16.43,119.99,4.17,97.85,144.94,48.08
Islamabad,33.7104,73.1338,2026-02-16 13:00:00+00:00,5,886.68,0.01,23.27,102.65,4.37,100.08,149.33,63.49
Islamabad,33.7104,73.1338,2026-02-16 14:00:00+00:00,5,1014.14,0.0,28.8,85.6,4.65,105.92,158.56,77.91
Islamabad,33.7104,73.1338,2026-02-16 15:00:00+00:00,5,1122.08,0.0,31.76,72.22,4.86,112.24,168.91,90.11
Islamabad,33.7104,73.1338,2026-02-16 16:00:00+00:00,5,1195.6,0.0,32.87,60.62,4.94,116.65,175.95,100.15
Islamabad,33.7104,73.1338,2026-02-16 17:00:00+00:00,5,1285.88,0.0,34.52,51.95,5.18,123.89,186.64,112.99
Islamabad,33.7104,73.1338,2026-02-16 18:00:00+00:00,5,1361.4,0.0,36.39,44.71,5.34,130.71,196.25,126.3
Islamabad,33.7104,73.1338,2026-02-16 19:00:00+00:00,5,1365.47,0.0,36.28,39.18,5.13,132.51,197.64,136.03
Islamabad,33.7104,73.1338,2026-02-16 20:00:00+00:00,5,1332.74,0.0,33.99,36.8,4.62,132.18,196.45,138.11
Islamabad,33.7104,73.1338,2026-02-16 21:00:00+00:00,5,1281.49,0.0,30.54,36.41,3.94,130.89,193.8,132.63
Islamabad,33.7104,73.1338,2026-02-16 22:00:00+00:00,5,1214.42,0.0,26.77,37.01,3.12,128.95,189.52,119.43
Islamabad,33.7104,73.1338,2026-02-16 23:00:00+00:00,5,1189.66,0.0,24.36,35.56,2.51,130.98,190.17,110.97
Islamabad,33.7104,73.1338,2026-02-17 00:00:00+00:00,5,1203.2,0.0,23.27,32.04,2.14,136.43,195.21,106.16
Islamabad,33.7104,73.1338,2026-02-17 01:00:00+00:00,5,1240.57,0.01,23.0,27.62,1.94,143.61,202.81,99.94
Islamabad,33.7104,73.1338,2026-02-17 02:00:00+00:00,5,1337.51,0.09,25.59,21.2,2.08,152.42,214.62,90.63
Islamabad,33.7104,73.1338,2026-02-17 03:00:00+00:00,5,1507.45,1.54,30.41,13.25,2.37,161.36,227.42,81.63
Islamabad,33.7104,73.1338,2026-02-17 04:00:00+00:00,5,1668.61,6.49,29.31,13.58,2.46,169.37,237.64,72.23
Islamabad,33.7104,73.1338,2026-02-17 05:00:00+00:00,5,1720.12,8.46,26.98,20.75,2.45,173.7,241.72,65.59
Islamabad,33.7104,73.1338,2026-02-17 06:00:00+00:00,5,1604.99,5.84,25.18,36.67,2.54,168.63,233.87,57.44
Islamabad,33.7104,73.1338,2026-02-17 07:00:00+00:00,5,752.9,0.29,7.2,120.05,5.14,123.07,167.72,24.02
Islamabad,33.7104,73.1338,2026-02-17 08:00:00+00:00,5,565.18,0.18,4.19,132.09,5.04,97.73,133.54,17.46
Islamabad,33.7104,73.1338,2026-02-17 09:00:00+00:00,5,489.28,0.18,3.28,136.47,4.56,81.78,112.89,15.3
Islamabad,33.7104,73.1338,2026-02-17 10:00:00+00:00,4,480.61,0.07,4.94,128.5,4.01,71.15,99.99,19.1
Islamabad,33.7104,73.1338,2026-02-17 11:00:00+00:00,4,521.62,0.06,8.56,112.52,3.72,64.56,93.53,27.13
Islamabad,33.7104,73.1338,2026-02-17 12:00:00+00:00,4,575.42,0.03,12.81,101.02,3.74,60.23,89.98,34.9
Islamabad,33.7104,73.1338,2026-02-17 13:00:00+00:00,4,680.18,0.01,19.86,89.21,4.15,60.0,91.54,49.31
Islamabad,33.7104,73.1338,2026-02-17 14:00:00+00:00,4,815.57,0.0,26.97,76.7,4.78,63.26,98.16,68.35
