city,latitude,longitude,timestamp,temperature,humidity,pressure,wind_speed
Islamabad,33.7104,73.1338,2026-02-16 00:00:00+00:00,11.6,45,951.3,0.63
Islamabad,33.7104,73.1338,2026-02-16 01:00:00+00:00,11.1,48,951.1,1.01
Islamabad,33.7104,73.1338,2026-02-16 02:00:00+00:00,10.4,53,951.5,0.68
Islamabad,33.7104,73.1338,2026-02-16 03:00:00+00:00,12.8,53,952.5,0.66
Islamabad,33.7104,73.1338,2026-02-16 04:00:00+00:00,16.1,55,953.4,0.59
Islamabad,33.7104,73.1338,2026-02-16 05:00:00+00:00,18.7,43,954.2,0.76
Islamabad,33.7104,73.1338,2026-02-16 06:00:00+00:00,19.8,43,954.5,1.15
Islamabad,33.7104,73.1338,2026-02-16 07:00:00+00:00,21.9,39,954.2,1.09
Islamabad,33.7104,73.1338,2026-02-16 08:00:00+00:00,23.1,35,953.3,1.66
Islamabad,33.7104,73.1338,2026-02-16 09:00:00+00:00,23.5,31,952.4,1.83
Islamabad,33.7104,73.1338,2026-02-16 10:00:00+00:00,23.2,29,951.7,1.97
Islamabad,33.7104,73.1338,2026-02-16 11:00:00+00:00,22.4,31,951.5,1.66
Islamabad,33.7104,73.1338,2026-02-16 12:00:00+00:00,19.8,52,950.9,1.3
Islamabad,33.7104,73.1338,2026-02-16 13:00:00+00:00,16.2,57,950.6,1.39
Islamabad,33.7104,73.1338,2026-02-16 14:00:00+00:00,14.9,63,950.8,1.37
Islamabad,33.7104,73.1338,2026-02-16 15:00:00+00:00,13.1,68,951.3,1.6
Islamabad,33.7104,73.1338,2026-02-16 16:00:00+00:00,12.9,63,951.9,1.77
Islamabad,33.7104,73.1338,2026-02-16 17:00:00+00:00,12.5,61,952.0,1.93
Islamabad,33.7104,73.1338,2026-02-16 18:00:00+00:00,11.7,63,952.1,1.28
Islamabad,33.7104,73.1338,2026-02-16 19:00:00+00:00,12.0,61,952.3,1.59
Islamabad,33.7104,73.1338,2026-02-16 20:00:00+00:00,11.5,60,952.3,1.23
Islamabad,33.7104,73.1338,2026-02-16 21:00:00+00:00,11.2,58,952.1,1.14
Islamabad,33.7104,73.1338,2026-02-16 22:00:00+00:00,11.4,57,952.5,1.32
Islamabad,33.7104,73.1338,2026-02-16 23:00:00+00:00,11.1,59,952.5,1.3
Islamabad,33.7104,73.1338,2026-02-17 00:00:00+00:00,11.8,55,952.1,0.96
Islamabad,33.7104,73.1338,2026-02-17 01:00:00+00:00,11.7,56,952.7,0.97
Islamabad,33.7104,73.1338,2026-02-17 02:00:00+00:00,11.6,57,953.6,1.21
Islamabad,33.7104,73.1338,2026-02-17 03:00:00+00:00,12.9,58,955.3,2.12
Islamabad,33.7104,73.1338,2026-02-17 04:00:00+00:00,15.5,57,956.2,1.66
Islamabad,33.7104,73.1338,2026-02-17 05:00:00+00:00,18.7,50,957.0,0.21
Islamabad,33.7104,73.1338,2026-02-17 06:00:00+00:00,20.1,44,957.7,1.31
Islamabad,33.7104,73.1338,2026-02-17 07:00:00+00:00,21.2,39,957.8,1.17
Islamabad,33.7104,73.1338,2026-02-17 08:00:00+00:00,21.3,42,957.2,1.95
Islamabad,33.7104,73.1338,2026-02-17 09:00:00+00:00,21.4,45,956.6,2.02
Islamabad,33.7104,73.1338,2026-02-17 10:00:00+00:00,21.2,45,956.2,2.16
Islamabad,33.7104,73.1338,2026-02-17 11:00:00+00:00,20.7,46,956.1,1.63
Islamabad,33.7104,73.1338,2026-02-17 12:00:00+00:00,20.1,54,954.9,0.6
Islamabad,33.7104,73.1338,2026-02-17 13:00:00+00:00,16.6,58,953.9,1.22
Islamabad,33.7104,73.1338,2026-02-17 14:00:00+00:00,14.3,68,953.8,1.3
Islamabad,33.7104,73.1338,2026-02-17 15:00:00+00:00,11.9,76,953.8,1.75
Islamabad,33.7104,73.1338,2026-02-17 16:00:00+00:00,10.7,76,953.9,1.77
Islamabad,33.7104,73.1338,2026-02-17 17:00:00+00:00,10.4,71,953.5,1.83
Islamabad,33.7104,73.1338,2026-02-17 18:00:00+00:00,10.4,68,952.9,1.77
Islamabad,33.7104,73.1338,2026-02-17 19:00:00+00:00,10.9,65,952.6,1.96
Islamabad,33.7104,73.1338,2026-02-17 20:00:00+00:00,10.5,65,952.6,1.7
Islamabad,33.7104,73.1338,2026-02-17 21:00:00+00:00,10.2,66,952.3,1.81
Islamabad,33.7104,73.1338,2026-02-17 22:00:00+00:00,10.0,67,952.0,1.54
Islamabad,33.7104,73.1338,2026-02-17 23:00:00+00:00,9.8,68,951.8,1.44
Islamabad,33.7104,73.1338,2026-02-18 00:00:00+00:00,9.9,67,952.5,0.43
Islamabad,33.7104,73.1338,2026-02-18 01:00:00+00:00,9.9,66,952.9,0.81
Islamabad,33.7104,73.1338,2026-02-18 02:00:00+00:00,10.0,65,953.4,0.84
Islamabad,33.7104,73.1338,2026-02-18 03:00:00+00:00,13.0,58,954.7,0.63
Islamabad,33.7104,73.1338,2026-02-18 04:00:00+00:00,16.2,54,955.8,1.05
Islamabad,33.7104,73.1338,2026-02-18 05:00:00+00:00,18.5,47,956.5,0.97
Islamabad,33.7104,73.1338,2026-02-18 06:00:00+00:00,19.8,42,957.5,1.32
Islamabad,33.7104,73.1338,2026-02-18 07:00:00+00:00,21.4,36,957.1,1.6
Islamabad,33.7104,73.1338,2026-02-18 08:00:00+00:00,21.8,36,956.7,2.02
Islamabad,33.7104,73.1338,2026-02-18 09:00:00+00:00,21.8,39,956.0,2.34
Islamabad,33.7104,73.1338,2026-02-18 10:00:00+00:00,20.8,44,955.8,2.7
Islamabad,33.7104,73.1338,2026-02-18 11:00:00+00:00,20.7,45,955.5,1.48
Islamabad,33.7104,73.1338,2026-02-18 12:00:00+00:00,19.4,60,954.9,1.27
Islamabad,33.7104,73.1338,2026-02-18 13:00:00+00:00,17.1,58,954.7,0.86
Islamabad,33.7104,73.1338,2026-02-18 14:00:00+00:00,15.1,64,954.7,1.23
Islamabad,33.7104,73.1338,2026-02-18 15:00:00+00:00,14.1,68,954.9,1.61
Islamabad,33.7104,73.1338,2026-02-18 16:00:00+00:00,13.1,72,955.0,1.66
Islamabad,33.7104,73.1338,2026-02-18 17:00:00+00:00,12.6,72,955.2,1.62
Islamabad,33.7104,73.1338,2026-02-18 18:00:00+00:00,12.8,71,955.2,1.36
Islamabad,33.7104,73.1338,2026-02-18 19:00:00+00:00,12.7,69,955.2,1.58
Islamabad,33.7104,73.1338,2026-02-18 20:00:00+00:00,12.0,69,954.7,1.5
Islamabad,33.7104,73.1338,2026-02-18 21:00:00+00:00,11.4,71,954.7,1.46
Islamabad,33.7104,73.1338,2026-02-18 22:00:00+00:00,11.2,73,954.6,1.69
Islamabad,33.7104,73.1338,2026-02-18 23:00:00+00:00,10.7,74,954.6,1.33
Islamabad,33.7104,73.1338,2026-02-19 00:00:00+00:00,9.7,80,954.5,0.65
Islamabad,33.7104,73.1338,2026-02-19 01:00:00+00:00,10.5,76,955.2,1.02
Islamabad,33.7104,73.1338,2026-02-19 02:00:00+00:00,10.4,77,955.4,0.84
Islamabad,33.7104,73.1338,2026-02-19 03:00:00+00:00,13.2,69,956.9,0.85
Islamabad,33.7104,73.1338,2026-02-19 04:00:00+00:00,16.7,63,958.0,0.18
Islamabad,33.7104,73.1338,2026-02-19 05:00:00+00:00,19.0,52,958.6,0.96
Islamabad,33.7104,73.1338,2026-02-19 06:00:00+00:00,20.5,48,959.0,1.8
Islamabad,33.7104,73.1338,2026-02-19 07:00:00+00:00,22.3,44,958.5,1.84
Islamabad,33.7104,73.1338,2026-02-19 08:00:00+00:00,23.3,41,957.7,2.02
Islamabad,33.7104,73.1338,2026-02-19 09:00:00+00:00,23.8,37,956.9,2.06
Islamabad,33.7104,73.1338,2026-02-19 10:00:00+00:00,23.8,32,956.4,1.79
Islamabad,33.7104,73.1338,2026-02-19 11:00:00+00:00,23.3,32,955.9,1.65
Islamabad,33.7104,73.1338,2026-02-19 12:00:00+00:00,21.2,52,955.9,1.05
Islamabad,33.7104,73.1338,2026-02-19 13:00:00+00:00,18.0,52,955.8,1.08
Islamabad,33.7104,73.1338,2026-02-19 14:00:00+00:00,16.1,61,956.0,1.09
Islamabad,33.7104,73.1338,2026-02-19 15:00:00+00:00,14.2,71,956.2,1.37
Islamabad,33.7104,73.1338,2026-02-19 16:00:00+00:00,12.8,75,956.4,1.81
Islamabad,33.7104,73.1338,2026-02-19 17:00:00+00:00,12.7,72,956.8,1.64
Islamabad,33.7104,73.1338,2026-02-19 18:00:00+00:00,13.0,69,957.3,1.08
Islamabad,33.7104,73.1338,2026-02-19 19:00:00+00:00,13.2,66,957.7,1.26
Islamabad,33.7104,73.1338,2026-02-19 20:00:00+00:00,12.2,68,957.6,1.12
Islamabad,33.7104,73.1338,2026-02-19 21:00:00+00:00,11.9,69,957.3,1.23
Islamabad,33.7104,73.1338,2026-02-19 22:00:00+00:00,11.9,71,957.1,1.21
Islamabad,33.7104,73.1338,2026-02-19 23:00:00+00:00,11.7,73,956.9,1.16
Islamabad,33.7104,73.1338,2026-02-20 00:00:00+00:00,11.4,73,957.2,0.78
Islamabad,33.7104,73.1338,2026-02-20 01:00:00+00:00,11.2,74,957.5,1.07
Islamabad,33.7104,73.1338,2026-02-20 02:00:00+00:00,11.1,74,958.0,1.04
Islamabad,33.7104,73.1338,2026-02-20 03:00:00+00:00,13.4,68,959.2,1.3
Islamabad,33.7104,73.1338,2026-02-20 04:00:00+00:00,16.9,63,960.6,1.15
Islamabad,33.7104,73.1338,2026-02-20 05:00:00+00:00,19.5,52,961.3,1.1
Islamabad,33.7104,73.1338,2026-02-20 06:00:00+00:00,20.8,45,961.7,1.61
Islamabad,33.7104,73.1338,2026-02-20 07:00:00+00:00,22.6,42,961.3,1.75
Islamabad,33.7104,73.1338,2026-02-20 08:00:00+00:00,23.7,39,960.3,2.21
Islamabad,33.7104,73.1338,2026-02-20 09:00:00+00:00,24.1,34,959.3,2.65
Islamabad,33.7104,73.1338,2026-02-20 10:00:00+00:00,23.9,33,958.5,2.8
Islamabad,33.7104,73.1338,2026-02-20 11:00:00+00:00,23.3,34,958.0,2.49
Islamabad,33.7104,73.1338,2026-02-20 12:00:00+00:00,20.5,51,957.3,1.59
Islamabad,33.7104,73.1338,2026-02-20 13:00:00+00:00,17.2,56,956.6,1.3
Islamabad,33.7104,73.1338,2026-02-20 14:00:00+00:00,15.1,67,956.3,1.58
Islamabad,33.7104,73.1338,2026-02-20 15:00:00+00:00,12.6,81,955.8,2.05
Islamabad,33.7104,73.1338,2026-02-20 16:00:00+00:00,11.6,85,955.5,2.22
Islamabad,33.7104,73.1338,2026-02-20 17:00:00+00:00,11.4,81,955.1,2.21
Islamabad,33.7104,73.1338,2026-02-20 18:00:00+00:00,11.1,80,955.0,1.84
Islamabad,33.7104,73.1338,2026-02-20 19:00:00+00:00,12.0,70,954.8,1.79
Islamabad,33.7104,73.1338,2026-02-20 20:00:00+00:00,12.1,66,954.4,1.96
Islamabad,33.7104,73.1338,2026-02-20 21:00:00+00:00,12.0,67,953.6,1.85
Islamabad,33.7104,73.1338,2026-02-20 22:00:00+00:00,11.6,68,952.9,1.65
Islamabad,33.7104,73.1338,2026-02-20 23:00:00+00:00,11.1,69,952.2,1.53
Islamabad,33.7104,73.1338,2026-02-21 00:00:00+00:00,9.5,77,951.7,0.78
