city,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Lahore,2026-08-12T16:00:00+00:00,3,1077.17,0.0,28.64,56.6,5.26,43.43,56.03,18.73
Lahore,2026-08-12T17:00:00+00:00,3,1131.06,0.0,28.91,46.11,5.05,48.0,62.05,18.6
Lahore,2026-08-12T18:00:00+00:00,4,1158.27,0.01,28.35,36.1,4.37,50.79,65.44,16.3
Lahore,2026-08-12T19:00:00+00:00,3,1141.65,0.01,26.11,27.24,3.04,48.35,62.22,10.01
Lahore,2026-08-12T20:00:00+00:00,3,1108.93,0.01,22.99,23.54,2.35,46.74,59.06,5.91
Lahore,2026-08-12T21:00:00+00:00,3,1016.4,0.0,18.03,31.98,2.1,42.41,52.57,3.66
Lahore,2026-08-12T22:00:00+00:00,3,813.01,0.0,10.25,66.3,2.1,33.24,40.64,2.13
Lahore,2026-08-12T23:00:00+00:00,3,766.84,0.0,7.98,74.97,1.84,31.2,37.45,1.75
Lahore,2026-08-13T00:00:00+00:00,3,748.5,0.0,7.07,76.98,1.74,30.19,35.8,1.65
Lahore,2026-08-13T01:00:00+00:00,3,731.07,0.0,6.57,74.59,1.77,29.14,34.56,1.72
Lahore,2026-08-13T02:00:00+00:00,3,726.79,0.07,7.01,70.29,1.94,28.44,34.04,2.02
Lahore,2026-08-13T03:00:00+00:00,3,724.99,0.36,7.67,69.23,2.18,28.31,34.24,2.44
Lahore,2026-08-13T04:00:00+00:00,2,592.11,0.41,5.65,94.78,2.43,23.22,28.67,1.35
Lahore,2026-08-13T05:00:00+00:00,3,529.96,0.52,4.43,103.76,2.61,22.02,26.88,0.93
Lahore,2026-08-13T06:00:00+00:00,3,504.18,0.49,3.39,111.05,2.61,23.72,28.03,0.76
Lahore,2026-08-13T07:00:00+00:00,3,468.73,0.31,2.4,118.67,2.37,25.75,29.74,0.58
Lahore,2026-08-13T08:00:00+00:00,3,437.86,0.21,2.11,120.16,2.13,25.83,29.71,0.58
Lahore,2026-08-13T09:00:00+00:00,3,415.51,0.16,2.15,118.4,1.93,24.52,28.32,0.65
Lahore,2026-08-13T10:00:00+00:00,3,401.57,0.13,2.49,114.08,1.69,23.05,27.19,0.87
Lahore,2026-08-13T11:00:00+00:00,3,391.77,0.12,3.28,106.05,1.52,22.16,27.1,1.26
Lahore,2026-08-13T12:00:00+00:00,2,384.87,0.1,4.41,97.18,1.43,21.32,27.18,1.64
Lahore,2026-08-13T13:00:00+00:00,2,400.79,0.04,6.68,85.21,1.4,21.41,28.59,2.37
Lahore,2026-08-13T14:00:00+00:00,2,428.91,0.0,9.21,70.5,1.46,22.63,31.73,3.37
Lahore,2026-08-13T15:00:00+00:00,2,443.15,0.0,10.74,58.68,1.52,23.82,35.24,4.02
