city,timestamp,aqi,pm2_5,pm10
Islamabad,2026-08-14 08:00:00+00:00,4,52.35,69.25
Islamabad,2026-08-14 09:00:00+00:00,4,52.3,68.26
Islamabad,2026-08-14 10:00:00+00:00,4,54.64,70.02
Islamabad,2026-08-14 11:00:00+00:00,4,58.89,73.58
Islamabad,2026-08-14 12:00:00+00:00,4,63.27,77.08
Islamabad,2026-08-14 13:00:00+00:00,4,67.36,80.02
Islamabad,2026-08-14 14:00:00+00:00,4,72.4,83.98
Islamabad,2026-08-14 15:00:00+00:00,5,78.37,88.79
Islamabad,2026-08-14 16:00:00+00:00,5,84.91,93.83
Islamabad,2026-08-14 17:00:00+00:00,5,90.99,98.89
Islamabad,2026-08-14 18:00:00+00:00,5,94.79,102.19
Islamabad,2026-08-14 19:00:00+00:00,5,98.04,105.12
Islamabad,2026-08-14 20:00:00+00:00,5,101.95,108.72
Islamabad,2026-08-14 21:00:00+00:00,5,104.69,111.16
Islamabad,2026-08-14 22:00:00+00:00,5,105.54,111.73
Islamabad,2026-08-14 23:00:00+00:00,5,103.88,109.81
Islamabad,2026-08-15 00:00:00+00:00,5,101.67,107.0
Islamabad,2026-08-15 01:00:00+00:00,5,95.14,100.0
Islamabad,2026-08-15 02:00:00+00:00,5,93.16,98.0
Islamabad,2026-08-15 03:00:00+00:00,5,92.08,97.14
Islamabad,2026-08-15 04:00:00+00:00,5,80.77,86.05
Islamabad,2026-08-15 05:00:00+00:00,4,71.66,77.31
Islamabad,2026-08-15 06:00:00+00:00,4,69.73,76.01
Islamabad,2026-08-15 07:00:00+00:00,4,59.97,68.25
Karachi,2026-08-14 08:00:00+00:00,3,18.06,76.46
Karachi,2026-08-14 09:00:00+00:00,3,16.84,70.91
Karachi,2026-08-14 10:00:00+00:00,3,16.52,69.68
Karachi,2026-08-14 11:00:00+00:00,3,16.68,71.2
Karachi,2026-08-14 12:00:00+00:00,3,17.0,72.68
Karachi,2026-08-14 13:00:00+00:00,3,16.9,72.28
Karachi,2026-08-14 14:00:00+00:00,3,16.55,70.62
Karachi,2026-08-14 15:00:00+00:00,3,16.22,69.3
Karachi,2026-08-14 16:00:00+00:00,3,16.21,69.4
Karachi,2026-08-14 17:00:00+00:00,3,16.37,69.82
Karachi,2026-08-14 18:00:00+00:00,3,16.48,70.6
Karachi,2026-08-14 19:00:00+00:00,3,16.33,69.31
Karachi,2026-08-14 20:00:00+00:00,3,16.68,70.65
Karachi,2026-08-14 21:00:00+00:00,3,17.51,74.05
Karachi,2026-08-14 22:00:00+00:00,3,17.89,74.71
Karachi,2026-08-14 23:00:00+00:00,3,17.77,73.27
Karachi,2026-08-15 00:00:00+00:00,3,17.61,73.29
Karachi,2026-08-15 01:00:00+00:00,3,17.43,76.08
Karachi,2026-08-15 02:00:00+00:00,3,17.37,78.0
Karachi,2026-08-15 03:00:00+00:00,3,17.55,79.25
Karachi,2026-08-15 04:00:00+00:00,3,17.86,80.26
Karachi,2026-08-15 05:00:00+00:00,3,18.08,80.68
Karachi,2026-08-15 06:00:00+00:00,3,18.21,80.8
Karachi,2026-08-15 07:00:00+00:00,3,17.98,79.61
Lahore,2026-08-14 08:00:00+00:00,3,24.87,52.98
Lahore,2026-08-14 09:00:00+00:00,2,21.3,44.86
Lahore,2026-08-14 10:00:00+00:00,2,20.24,42.42
Lahore,2026-08-14 11:00:00+00:00,2,20.45,42.66
Lahore,2026-08-14 12:00:00+00:00,2,20.41,42.75
Lahore,2026-08-14 13:00:00+00:00,2,20.82,42.77
Lahore,2026-08-14 14:00:00+00:00,2,21.91,42.65
Lahore,2026-08-14 15:00:00+00:00,2,22.82,40.56
Lahore,2026-08-14 16:00:00+00:00,2,22.67,36.3
Lahore,2026-08-14 17:00:00+00:00,2,22.84,34.26
Lahore,2026-08-14 18:00:00+00:00,2,23.11,33.13
Lahore,2026-08-14 19:00:00+00:00,2,22.7,31.71
Lahore,2026-08-14 20:00:00+00:00,2,23.37,32.26
Lahore,2026-08-14 21:00:00+00:00,2,24.53,33.6
Lahore,2026-08-14 22:00:00+00:00,3,25.83,34.95
Lahore,2026-08-14 23:00:00+00:00,3,27.14,36.04
Lahore,2026-08-15 00:00:00+00:00,3,28.33,37.33
Lahore,2026-08-15 01:00:00+00:00,3,29.32,38.5
Lahore,2026-08-15 02:00:00+00:00,3,30.61,40.73
Lahore,2026-08-15 03:00:00+00:00,3,32.07,43.68
Lahore,2026-08-15 04:00:00+00:00,3,30.56,45.46
Lahore,2026-08-15 05:00:00+00:00,3,35.17,51.51
Lahore,2026-08-15 06:00:00+00:00,4,50.85,67.73
Lahore,2026-08-15 07:00:00+00:00,3,48.13,66.54
