feature,importance
numeric__aqi,0.8337948538265039
numeric__pm2_5,0.0578774432937526
numeric__o3,0.017765934173456
numeric__pm10,0.013540437673659162
numeric__pm2_5_lag_1,0.010582961447519648
numeric__pm10_lag_1,0.008824850893439259
numeric__no,0.007026742602923619
numeric__no2,0.006255287873550767
numeric__so2,0.0057008829778223535
numeric__temperature,0.005444928976487913
numeric__hour,0.005333208518408913
numeric__co,0.004925203245019935
numeric__wind_speed,0.004198891651060129
numeric__humidity,0.004113656346559308
numeric__pressure,0.003553956055071591
numeric__nh3,0.0034055675081259727
numeric__day_of_week,0.002101987277733046
numeric__aqi_lag_6,0.0011084305563539981
numeric__aqi_lag_3,0.0011054847683063793
numeric__aqi_lag_1,0.0010332955817193156
numeric__month,0.0007716965670302988
numeric__aqi_lag_24,0.0007660912256067517
numeric__longitude_weather,0.00013753709913716603
numeric__latitude_weather,0.00013355281314298743
numeric__longitude_pollution,0.00013051738355773215
city__city_Lahore,0.00011422621125029089
numeric__latitude_pollution,0.00010415222975316018
city__city_Islamabad,9.048490763884188e-05
city__city_Karachi,5.773631540899754e-05
